company,experiance,city,salary,job_detail,required_skill,job_tittle
ibm,3 - 8 years,Faridabad,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['risk management', 'microsoft azure', 'paas', 'iaas', 'aws', 'continuous integration', 'software development', 'cloud security', 'hipaa', 'information security', 'access management', 'cissp', 'nist', 'iam', 'gcp', 'saas', 'devops', 'pci dss']",Security Architect
ge vernova,5 - 8 years,Hyderabad,10L_to_15L,"['Role: Site Reliability Engineer', 'Industry Type: Industrial Equipment / Machinery', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: DevOps', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['microsoft azure', 'aws', 'container', 'redis', 'ansible', 'docker', 'microservices', 'java', 'git', 'devops', 'linux', 'jenkins', 'shell scripting', 'mongodb', 'python', 'nginx', 'puppet', 'bash', 'agile']",Site Reliability Engineer
forvis mazars,6 - 10 years,Pune,10L_to_15L,"['Role: Other', 'Industry Type: Miscellaneous', 'Department: Other', 'Employment Type: Full Time, Permanent', 'Role Category: Other', 'UG: Any Graduate', 'PG: Any Postgraduate']","['IEC', 'CSF', 'Cip', 'Cyber Security', 'Network Security']",Other
accenture,7 - 12 years,Bengaluru,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['event management', 'siem', 'incident management', 'security compliance', 'cloud security', 'soc', 'security operations center']",Security Architect
accenture,5 - 10 years,Bengaluru,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['event management', 'cloud security', 'siem', 'security compliance', 'soc', 'security operations center']",Security Architect
accenture,8 - 12 years,Gurugram,10L_to_15L,"['Role: Manager Information Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate, B.Tech/B.E. in Production/Industrial', 'PG: Any Postgraduate']","['network security', 'wan', 'presentation skills', 'firewall', 'vpn', 'networking', 'bgp', 'ccnp', 'cissp', 'sd', 'nac', 'iam', 'gcp', 'segmentation', 'security services', 'project management', 'cloud security', 'documentation', 'ip', 'information security', 'microsoft azure', 'cism', 'fortinet', 'pci dss', 'aws']",Manager Information Security
accenture,3 - 4 years,Gurugram,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['cataloguing', 'data security', 'data mapping', 'data governance', 'data privacy', 'risk management', 'cloud security', 'information security', 'regulations', 'retention']",Security Architect
accenture,8 - 13 years,Gurugram,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['event management', 'cloud security', 'security automation', 'splunk', 'security compliance', 'network security', 'threat management', 'siem', 'nist']",Security Architect
accenture,8 - 13 years,Bengaluru,10L_to_15L,"['Role: Technical Lead', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['ms project', 'presentation skills', 'waterfall', 'scrum', 'agile', 'risk management', 'cloud security', 'information security', 'power bi', 'primavera', 'tableau', 'ms office suite', 'sdlc', 'project planning']",Technical Lead
accenture,8 - 13 years,Gurugram,10L_to_15L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['event management', 'configuring', 'cloud security', 'troubleshooting', 'it infrastructure', 'service management', 'siem', 'spl', 'ansible', 'linux', 'jenkins', 'splunk', 'shell scripting']",Security Architect
